index,gps_code,coordinates,longitude,latitude
0,SDBQ,"-38.480087, -3.741922",-38.480087,-3.741922
1,SDOX,"-49.366, -7.0161",-49.366,-7.0161
2,SDOS,"-47.869166, -24.419166",-47.869166,-24.419166
3,SDLR,"-63.185491, -5.635585",-63.185491,-5.635585
4,SWBS,"-61.775907, -11.655585",-61.775907,-11.655585
5,SDAL,"-47.782154, -21.22671",-47.782154,-21.22671
6,SDAQ,"-45.6121, -13.7029",-45.6121,-13.7029
7,SDAR,"-56.276475, -11.874331",-56.276475,-11.874331
8,SDAY,"-50.34641, -8.92326",-50.34641,-8.92326
9,SDNB,"-58.001527, -12.099274",-58.001527,-12.099274
10,SIXZ,"-59.199348, -9.445464",-59.199348,-9.445464
11,SDKH,"-64.383895, -6.529527",-64.383895,-6.529527
12,SDEB,"-49.546115, -23.270871",-49.546115,-23.270871
13,SNGQ,"-45.269677, -19.687863",-45.269677,-19.687863
14,SNEE,"-51.023322, -28.43248",-51.023322,-28.43248
15,SDBI,"-55.055907, -23.885222",-55.055907,-23.885222
16,SIWH,"-47.223786, -18.480246",-47.223786,-18.480246
17,SDBT,"-47.556164, -23.272781",-47.556164,-23.272781
18,SDZM,"-46.733592, -23.033789",-46.733592,-23.033789
19,SDCC,"-41.4817, -21.7158",-41.4817,-21.7158
20,SDBZ,"-46.8867, -12.549401",-46.8867,-12.549401
21,SJPR,"-49.643056, -25.549401",-49.643056,-25.549401
22,SDFI,"-50.014167, -13.738055",-50.014167,-13.738055
23,SWRP,"-57.420427, -8.863569",-57.420427,-8.863569
24,SDCK,"-46.073434, -17.014176",-46.073434,-17.014176
25,SNHL,"-46.308611, -23.433334",-46.308611,-23.433334
26,SDCE,"-48.678889, -11.301667",-48.678889,-11.301667
27,SDCH,"-49.838194, -18.311111",-49.838194,-18.311111
28,SWNC,"-67.698, -10.2675",-67.698,-10.2675
29,SWRF,"-44.546242, -4.58443",-44.546242,-4.58443
30,SNVW,"-43.309444, -22.998333",-43.309444,-22.998333
31,SNWL,"-54.151224, -20.040262",-54.151224,-20.040262
32,SWWR,"-45.881944, -7.23111",-45.881944,-7.23111
33,SNEP,"-50.67882, -20.040668",-50.67882,-20.040668
34,SDDL,"-35.57579, -8.685695",-35.57579,-8.685695
35,SDDU,"-38.487371, -3.741452",-38.487371,-3.741452
36,SDDW,"-44.248978, -22.998675",-44.248978,-22.998675
37,SDEE,"-47.464542, -23.536126",-47.464542,-23.536126
38,SJKK,"-51.638765, -24.263536",-51.638765,-24.263536
39,SSDH,"-45.301111, -13.432222",-45.301111,-13.432222
40,SIKX,"-57.669051, -11.176732",-57.669051,-11.176732
41,SWEZ,"-56.071279, -14.422748",-56.071279,-14.422748
42,SNLC,"-46.465488, -15.823305",-46.465488,-15.823305
43,SSKE,"-41.604942, -3.455071",-41.604942,-3.455071
44,SDFA,"-61.391242, -10.114436",-61.391242,-10.114436
45,SDFE,"-53.9125, -16.473055",-53.9125,-16.473055
46,SDFF,"-67.305229, -9.569238",-67.305229,-9.569238
47,SDFG,"-48.083888, -15.836111",-48.083888,-15.836111
48,SDFL,"-44.307697, -2.499641",-44.307697,-2.499641
49,SJVA,"-57.41081, -12.99317",-57.41081,-12.99317
50,SDFN,"-44.350848, -23.047614",-44.350848,-23.047614
51,SJZA,"-38.615834, -6.882778",-38.615834,-6.882778
52,SSSM,"-68.257845, -6.41454",-68.257845,-6.41454
53,SWSS,"-43.198333, -22.909722",-43.198333,-22.909722
54,SIBN,"-62.507014, -10.440823",-62.507014,-10.440823
55,SIDG,"-62.517625, -10.423643",-62.517625,-10.423643
56,SDQJ,"-43.817836, -11.660292",-43.817836,-11.660292
57,SWJO,"-54.440833, -15.433611",-54.440833,-15.433611
58,SWZU,"-35.013056, -8.128333",-35.013056,-8.128333
59,SDAV,"-43.920277, -20.1725",-43.920277,-20.1725
60,SDAZ,"-43.181388, -22.909166",-43.181388,-22.909166
61,SDWM,"-47.594317, -2.265221",-47.594317,-2.265221
62,SWZH,"-40.667485, -19.464338",-40.667485,-19.464338
63,SWZF,"-47.500403, -23.236696",-47.500403,-23.236696
64,SWZB,"-45.348093, -23.767686",-45.348093,-23.767686
65,SWUR,"-57.705555, -16.18861",-57.705555,-16.18861
66,SIAP,"-55.213888, -12.998611",-55.213888,-12.998611
67,SIRD,"-51.620277, -29.975833",-51.620277,-29.975833
68,SDKN,"-38.442581, -3.844717",-38.442581,-3.844717
69,SDKP,"-53.433056, -22.268333",-53.433056,-22.268333
70,SWZM,"-56.521434, -11.542272",-56.521434,-11.542272
71,SWZL,"-50.968612, -17.741666",-50.968612,-17.741666
72,SDQU,"-44.799444, -9.255833",-44.799444,-9.255833
73,SWAF,"-44.324971, -19.804265",-44.324971,-19.804265
74,SSLC,"-54.067369, -25.27427",-54.067369,-25.27427
75,SDCI,"-44.344756, -19.818125",-44.344756,-19.818125
76,SDCX,"-45.129098, -9.400432",-45.129098,-9.400432
77,SDDB,"-43.496667, -13.248888",-43.496667,-13.248888
78,SDDF,"-44.290602, -2.52454",-44.290602,-2.52454
79,SDEC,"-34.896482, -8.065511",-34.896482,-8.065511
80,SDEF,"-46.386267, -23.532365",-46.386267,-23.532365
81,SIAB,"-48.510232, -23.621055",-48.510232,-23.621055
82,SIBJ,"-49.987223, -18.681382",-49.987223,-18.681382
83,SIAF,"-35.048359, -7.909668",-35.048359,-7.909668
84,SNFK,"-47.86329, -20.758691",-47.86329,-20.758691
85,SWPN,"-45.929497, -17.302567",-45.929497,-17.302567
86,SWZJ,"-41.941738, -22.761712",-41.941738,-22.761712
87,SWYZ,"-39.284234, -13.108961",-39.284234,-13.108961
88,SWYU,"-46.16238, -13.752462",-46.16238,-13.752462
89,SWYQ,"-51.752391, -9.286519",-51.752391,-9.286519
90,SWYL,"-39.643354, -3.511518",-39.643354,-3.511518
91,SWYI,"-45.520353, -22.700746",-45.520353,-22.700746
92,SWYF,"-47.254073, -22.760119",-47.254073,-22.760119
93,SWYD,"-46.681944, -23.584722",-46.681944,-23.584722
94,SWYC,"-59.716035, -16.255972",-59.716035,-16.255972
95,SIWT,"-50.610394, -10.361881",-50.610394,-10.361881
96,SJKG,"-42.476111, -6.34861",-42.476111,-6.34861
97,SJKH,"-39.420278, -10.903889",-39.420278,-10.903889
98,SJCO,"-47.111798, -23.430882",-47.111798,-23.430882
99,SSAX,"-41.782074, -22.100428",-41.782074,-22.100428
100,SNAU,"-45.265555, -5.618611",-45.265555,-5.618611
101,SNAW,"-47.879165, -15.790566",-47.879165,-15.790566
102,SNAZ,"-46.849942, -23.492877",-46.849942,-23.492877
103,SNBB,"-49.057376, -25.34695",-49.057376,-25.34695
104,SNBE,"-53.580533, -22.617232",-53.580533,-22.617232
105,SWAH,"-43.871418, -19.842128",-43.871418,-19.842128
106,SNBK,"-45.540062, -22.7384254",-45.540062,-22.7384254
107,SNDI,"-54.179444, -22.792222",-54.179444,-22.792222
108,SNDN,"-38.425784, -12.94398",-38.425784,-12.94398
109,SSUH,"-46.580555, -23.415",-46.580555,-23.415
110,SIGY,"-51.038782, -22.074271",-51.038782,-22.074271
111,SDEG,"-46.851428, -23.504727",-46.851428,-23.504727
112,SDEH,"-60.029901, -2.998256",-60.029901,-2.998256
113,SDFB,"-47.077168, -22.964528",-47.077168,-22.964528
114,SDFY,"-55.173784, -19.411443",-55.173784,-19.411443
115,SDHN,"-42.852289, -22.744179",-42.852289,-22.744179
116,SDBR,"-46.694264, -23.609911",-46.694264,-23.609911
117,SDFZ,"-45.725952, -11.66962",-45.725952,-11.66962
118,SDGA,"-53.847376, -22.036265",-53.847376,-22.036265
119,SDGF,"-54.234234, -21.553153",-54.234234,-21.553153
120,SDGJ,"-56.910956, -21.332724",-56.910956,-21.332724
121,SDGK,"-43.164285, -22.352445",-43.164285,-22.352445
122,SDGM,"-43.889987, -19.290439",-43.889987,-19.290439
123,SDGP,"-53.466667, -14.0125",-53.466667,-14.0125
124,SDKG,"-46.688545, -23.593695",-46.688545,-23.593695
125,SIJQ,"-55.995278, -10.068612",-55.995278,-10.068612
126,SDGQ,"-38.144054, -5.193456",-38.144054,-5.193456
127,SDGV,"-43.952202, -19.9945",-43.952202,-19.9945
128,SDHJ,"-61.926452, -10.933595",-61.926452,-10.933595
129,SDHS,"-56.413611, -12.017777",-56.413611,-12.017777
130,SDIR,"-62.018592, 1.887366",-62.018592,1.887366
131,SDIU,"-54.576214, -20.450464",-54.576214,-20.450464
132,SDIX,"-41.565833, -15.499887",-41.565833,-15.499887
133,SDIZ,"-45.504167, -9.058762",-45.504167,-9.058762
134,SDJG,"-44.591333, -8.99928",-44.591333,-8.99928
135,SNNJ,"-47.924935, -25.007831",-47.924935,-25.007831
136,SNNI,"-46.885955, -23.728392",-46.885955,-23.728392
